rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6tNQ70jh4OwmPGpYy6R2o9","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",1,1,8,"2404856"
2,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",2,7,4,"2145579"
3,"spotify:track:51ZQ1vr10ffzbwIjDCwqm4","Ariana Grande","we can't be friends (wait for your love)","Republic Records",3,-1,1,"2142026"
4,"spotify:track:0mflMxspEfB0VbI1kyLiAv","Noah Kahan","Stick Season","Mercury Records/Republic Records",1,3,23,"1942329"
5,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",1,2,58,"1854514"
6,"spotify:track:3w0w2T288dec0mgeZZqoNN","¥$, Kanye West, Ty Dolla $ign","CARNIVAL","Ye",5,5,5,"1725947"
7,"spotify:track:7AYmToZ5y67fBjq4RLFbuq","Beyoncé","TEXAS HOLD 'EM","Parkwood Entertainment/Columbia",3,4,5,"1677894"
8,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",2,6,26,"1663836"
9,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",7,9,19,"1606804"
10,"spotify:track:4xhsWYTOGcal8zt0J161CU","Jack Harlow","Lovin On Me","Generation Now/Atlantic",1,8,18,"1492257"
11,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",5,10,29,"1268043"
12,"spotify:track:1bjeWoagtHmUKputLVyDxQ","SZA","Saturn","Top Dawg Entertainment/RCA Records",12,13,3,"1169333"
13,"spotify:track:1PTWicTyEUeYeWq4H25a4N","Fred again.., Baby Keem","leavemealone","Atlantic Records UK",12,12,14,"1153287"
14,"spotify:track:3Pbp7cUCx4d3OAkZSCoNvn","Michael Marcagi","Scared To Start","Warner Records",14,14,9,"1132525"
15,"spotify:track:5D34wRmbFS29AjtTOP2QJe","Ariana Grande","yes, and?","Republic Records",4,40,9,"1131085"
16,"spotify:track:59NraMJsLaMCVtwXTSia8i","cassö, RAYE, D-Block Europe","Prada","Ministry of Sound Recordings",4,11,31,"1107754"
17,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",7,16,91,"998766"
18,"spotify:track:6dpLxbF7lfCAnC9QRTjNLK","Good Neighbours","Home","Some Action",18,18,7,"979990"
19,"spotify:track:5mjYQaktjmjcMKcUIcqz4s","Kenya Grace","Strangers","Warner Records/Major Recordings",2,17,28,"933648"
20,"spotify:track:52eIcoLUM25zbQupAZYoFh","21 Savage","redrum","Slaughter Gang, LLC/Epic Records",14,15,9,"927823"
21,"spotify:track:1Rweq7vNjK4kZBbGrmxQsl","Ariana Grande","bye","Republic Records",21,-1,1,"918245"
22,"spotify:track:0Lmbke3KNVFXtoH2mMSHCw","Ariana Grande","the boy is mine","Republic Records",22,-1,1,"905734"
23,"spotify:track:7K3BhSpAxZBznislvUMVtn","Morgan Wallen","Last Night","Big Loud Records / Mercury Records / Republic Records",1,20,58,"869121"
24,"spotify:track:2Zo1PcszsT9WQ0ANntJbID","Sabrina Carpenter","Feather","Island Records",19,19,15,"858978"
25,"spotify:track:3RwWW7KeVhHGayYJgUL5eZ","Ariana Grande","eternal sunshine","Republic Records",25,-1,1,"856341"
26,"spotify:track:5aIVCx5tnk0ntmdiinnYvw","Tyla","Water","FAX Records/Epic",5,24,26,"852318"
27,"spotify:track:3U5JVgI2x4rDyHGObzJfNf","Natasha Bedingfield","Unwritten","Sony Music CG",15,23,11,"850093"
28,"spotify:track:4OMJGnvZfDvsePyCwRGO7X","Dua Lipa","Houdini","Warner Records",10,27,18,"827367"
29,"spotify:track:787Y2idwCU2Rk60Prv4wpr","Dom Dolla","Saving Up","Three Six Zero Recordings/Columbia Records",11,22,15,"812220"
30,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",1,21,73,"805008"
31,"spotify:track:1VNWdmXSbaNrnWod10WIL0","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","Universal Republic Records",25,29,18,"794555"
32,"spotify:track:6Qb7YsAqH4wWFUMbGsCpap","Dua Lipa","Training Season","Warner Records",24,26,4,"793460"
33,"spotify:track:56y1jOTK0XSvJzVv9vHQBK","Doja Cat","Paint The Town Red","Kemosabe Records/RCA Records",1,28,32,"792651"
34,"spotify:track:142PiXzA84lmEw2RstFHFa","Ariana Grande","supernatural","Republic Records",34,-1,1,"784069"
35,"spotify:track:0h3Xy4V4apMraB5NuM8U7Z","CYRIL","Stumblin' In","Spinnin' Records",30,30,6,"783530"
36,"spotify:track:57wp7VFnV8X0pSVnYArGeJ","Bryson Tiller","Whatever She Wants","TrapSoul/RCA Records",36,47,3,"774725"
37,"spotify:track:0o3ua5ufFK7nfRzbDUNoGA","Ariana Grande","don't wanna break up again","Republic Records",37,-1,1,"770549"
38,"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Vance Joy","Riptide","F-Stop Records/Atlantic",12,34,375,"754616"
39,"spotify:track:3h5TiWTqGxjSjFrbruPFH9","YG Marley","Praise Jah In The Moonlight","YG Marley Music",16,25,9,"747667"
40,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",24,31,64,"741395"
41,"spotify:track:4E63weMCaNZuGPEFMnuEi8","Tate McRae","exes","RCA Records Label",16,35,17,"706024"
42,"spotify:track:2o1pb13quMReXZqE7jWsgq","Ariana Grande","intro (end of the world)","Republic Records",42,-1,1,"704173"
43,"spotify:track:7DSAEUvxU8FajXtRloy8M0","Miley Cyrus","Flowers","Columbia",1,43,61,"704126"
44,"spotify:track:1yeB8MUNeLo9Ek1UEpsyz6","Drake, Sexyy Red, SZA","Rich Baby Daddy (feat. Sexyy Red & SZA)","OVO/Republic",9,33,23,"689587"
45,"spotify:track:5w9upngVRHNjdZcRC7Xxr2","Fred again.., Delilah Montagu","Delilah (pull me out of this)","Atlantic Records UK",20,37,25,"688644"
46,"spotify:track:4tKGFmENO69tZR9ahgZu48","Sophie Ellis-Bextor","Murder On The Dancefloor","Polydor Records",7,41,11,"686793"
47,"spotify:track:42VsgItocQwOQC3XWZ8JNA","Travis Scott, Playboi Carti","FE!N (feat. Playboi Carti)","Cactus Jack/Epic",10,56,12,"682818"
48,"spotify:track:14kyXBpg91RVq8bNRDS1q2","Ariana Grande","true story","Republic Records",48,-1,1,"677986"
49,"spotify:track:7GUhiAHLoVy1V8ucQuZ3CB","The Weeknd, Playboi Carti, Madonna","Popular (with Playboi Carti & Madonna)","Universal Republic Records",7,38,41,"665022"
50,"spotify:track:3vkCueOmm7xQDoJ17W1Pm3","Mitski","My Love Mine All Mine","Dead Oceans",12,46,25,"661160"
51,"spotify:track:5cQX9BexkPIEESTZijJhXg","Ariana Grande","i wish i hated you","Republic Records",51,-1,1,"658089"
52,"spotify:track:6uTPdRrEDeH8Fyg5L5qmeU","Flo Milli","Never Lose Me","'94 Sounds/RCA Records",24,45,9,"657991"
53,"spotify:track:1Lo0QY9cvc8sUB2vnIOxDT","Luke Combs","Fast Car","River House Artists/Columbia Nashville",4,49,51,"647780"
54,"spotify:track:1dGr1c8CrMLDpV6mPbImSI","Taylor Swift","Lover","Taylor Swift",3,32,58,"646223"
55,"spotify:track:1kuGVB7EU95pJObxwvfwKS","Olivia Rodrigo","vampire","Olivia Rodrigo PS",1,44,37,"644003"
56,"spotify:track:1Iq8oo9XkmmvCQiGOfORiz","Taylor Swift","Is It Over Now? (Taylor's Version) (From The Vault)","Taylor Swift",1,39,20,"640719"
57,"spotify:track:04CyMEHliadfQWMUJb1w99","¥$, Kanye West, Ty Dolla $ign","BURN","Ye",23,36,5,"617965"
58,"spotify:track:3YgtkOxZsTuaZdL8McA1FQ","Fred again.., Obongjayar","adore u","Atlantic Records UK",38,52,26,"616429"
59,"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]","Darkroom/Interscope Records",2,77,35,"615679"
60,"spotify:track:1odExI7RdWc4BT515LTAwj","David Kushner","Daylight","Miserable Music Group, LLC",2,48,48,"605024"
61,"spotify:track:3hRV0jL3vUpRrcy398teAU","Lord Huron","The Night We Met","Play It Again Sam",40,53,87,"604242"
62,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Mosley Music/Interscope Records",1,54,93,"598944"
63,"spotify:track:1R0a2iXumgCiFb7HEZ7gUE","Taylor Swift","Don’t Blame Me","Big Machine Records, LLC",13,42,82,"590528"
64,"spotify:track:6XXKB32Om6WuXg3uEWwTob","Ariana Grande","imperfect for you","Republic Records",64,-1,1,"587924"
65,"spotify:track:6me7F0aaZjwDo6RJ5MrfBD","Richy Mitch & The Coal Miners","Evergreen","Richy Mitch & The Coal Miners",65,66,20,"584350"
66,"spotify:track:6b81dy3WjbozXK6b7C1gu5","Dasha","Austin (Boots Stop Workin')","Warner Records",66,162,2,"579209"
67,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",36,58,158,"574691"
68,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",17,59,377,"572759"
69,"spotify:track:0PAcdVzhPO4gq1Iym9ESnK","Morgan Wallen","Thinkin’ Bout Me","Big Loud Records / Mercury Records / Republic Records",52,60,54,"572165"
70,"spotify:track:2Dct3GykKZ58hpWRFfe2Qd","Zach Bryan","Heading South","Warner Records",40,57,46,"570826"
71,"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Fleetwood Mac","Dreams - 2004 Remaster","Rhino/Warner Records",7,67,297,"567541"
72,"spotify:track:0cVyQfDyRnMJ0V3rjjdlU3","Paul Russell","Lil Boo Thang","Arista Records",15,55,23,"567520"
73,"spotify:track:1vYXt7VSjH9JIM5oRRo7vA","Dua Lipa","Dance The Night - From Barbie The Album","Atlantic Records",4,61,42,"555783"
74,"spotify:track:7KokYm8cMIXCsGVmUvKtqf","Taylor Swift","Karma","Taylor Swift",8,50,54,"531141"
75,"spotify:track:4R2kfaDFhslZEMJqAFNpdd","Taylor Swift","cardigan","Taylor Swift",1,51,63,"522622"
76,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",28,72,81,"519543"
77,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",4,68,268,"516626"
78,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,82,102,"508739"
79,"spotify:track:0ntQJM78wzOLVeCUAW7Y45","Kings of Leon","Sex on Fire","RCA/Legacy",59,74,153,"507536"
80,"spotify:track:0IvsPPZCccqEMfUTUI9bUM","Fred again.., Lil Yachty, Overmono","stayinit","Atlantic Records UK",62,62,2,"506933"
81,"spotify:track:6dgUya35uo964z7GZXM07g","Sabrina Carpenter","Nonsense","Island Records",15,64,47,"505914"
82,"spotify:track:2LawezPeJhN4AWuSB0GtAU","Creedence Clearwater Revival","Have You Ever Seen The Rain","Craft Recordings",47,69,82,"503591"
83,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",2,73,125,"492817"
84,"spotify:track:7yNf9YjeO5JXUE3JEBgnYc","Dominic Fike","Babydoll","Columbia",51,63,27,"490542"
