rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7fzHQizxTqy8wTXwlrgPQQ","Tommy Richman","MILLION DOLLAR BABY","PULSE Records",1,1,5,"3351330"
2,"spotify:track:7221xIgOnuakPdLqT0F3nP","Post Malone, Morgan Wallen","I Had Some Help (Feat. Morgan Wallen)","Mercury Records/Republic Records",2,2,3,"3099369"
3,"spotify:track:2FQrifJ1N335Ljm3TjTVVf","Shaboozey","A Bar Song (Tipsy)","American Dogwood / EMPIRE",2,3,7,"3087250"
4,"spotify:track:629DixmZGHc7ILtEntuiWE","Billie Eilish","LUNCH","Darkroom/Interscope Records",4,4,2,"3011392"
5,"spotify:track:2qSkIjg1o9h3YT9RAgYN75","Sabrina Carpenter","Espresso","Island Records",1,5,7,"2949311"
6,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",6,9,2,"2330618"
7,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",5,6,4,"2247323"
8,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",1,8,19,"2101597"
9,"spotify:track:5Z0UnEtpLDQyYlWwgi8m9C","Hozier","Too Sweet","Rubyworks / Universal-Island Records Ltd",1,10,10,"1919746"
10,"spotify:track:7BRD7x5pt8Lqa1eGYC4dzj","Billie Eilish","CHIHIRO","Darkroom/Interscope Records",7,7,2,"1917415"
11,"spotify:track:2GxrNKugF82CnoRFbQfzPf","Artemas","i like the way you kiss me","Artemas",3,12,10,"1702547"
12,"spotify:track:2OzhQlSqBEmt7hmkYxfT6m","Taylor Swift, Post Malone","Fortnight (feat. Post Malone)","Taylor Swift",1,11,6,"1692300"
13,"spotify:track:2uqYupMHANxnwgeiXTZXzd","Dasha","Austin (Boots Stop Workin')","Warner Records",12,15,13,"1564993"
14,"spotify:track:0mflMxspEfB0VbI1kyLiAv","Noah Kahan","Stick Season","Mercury Records/Republic Records",1,16,34,"1522635"
15,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",5,18,30,"1465367"
16,"spotify:track:4ZJ4vzLQekI0WntDbanNC7","Zach Bryan","Pink Skies","Warner Records",16,-1,1,"1448839"
17,"spotify:track:3Vr3zh0r7ALn8VLqCiRR10","Myles Smith","Stargazing","RCA Records Label",17,25,3,"1425796"
18,"spotify:track:7iabz12vAuVQYyekFIWJxD","Central Cee, Lil Baby","BAND4BAND (feat. Lil Baby)","Columbia",18,-1,1,"1390247"
19,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",13,13,2,"1250435"
20,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",2,22,15,"1232631"
21,"spotify:track:51ZQ1vr10ffzbwIjDCwqm4","Ariana Grande","we can't be friends (wait for your love)","Republic Records",2,23,12,"1206047"
22,"spotify:track:3Pbp7cUCx4d3OAkZSCoNvn","Michael Marcagi","Scared To Start","Warner Records",8,26,20,"1167919"
23,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",5,28,40,"1156351"
24,"spotify:track:4q5YezDOIPcoLr8R81x9qy","Taylor Swift","I Can Do It With a Broken Heart","Taylor Swift",3,21,6,"1153741"
25,"spotify:track:5uQ7de4EWjb3rkcFxyEOpu","Mark Ambor","Belong Together","Hundred Days Records, LLC",15,27,10,"1153302"
26,"spotify:track:51eSHglvG1RJXtL3qI5trr","Benson Boone","Slow It Down","Night Street Records, Inc./Warner Records Inc.",22,30,10,"1129402"
27,"spotify:track:6fPan2saHdFaIHuTSatORv","Billie Eilish","L’AMOUR DE MA VIE","Darkroom/Interscope Records",19,19,2,"1031447"
28,"spotify:track:2prqm9sPLj10B4Wg0wE5x9","Billie Eilish","BLUE","Darkroom/Interscope Records",20,20,2,"1015449"
29,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",1,33,69,"997154"
30,"spotify:track:1CsMKhwEmNnmvHUuO5nryA","Billie Eilish","SKINNY","Darkroom/Interscope Records",14,14,2,"992942"
31,"spotify:track:6TGd66r0nlPaYm3KIoI7ET","Billie Eilish","THE GREATEST","Darkroom/Interscope Records",17,17,2,"989995"
32,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",7,34,102,"946095"
33,"spotify:track:2tudvzsrR56uom6smgOcSf","Future, Metro Boomin, Kendrick Lamar","Like That","Wilburn Holding Co./Boominati/Epic/Republic",8,31,10,"942606"
34,"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Vance Joy","Riptide","F-Stop Records/Atlantic",12,42,386,"925335"
35,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",35,36,7,"915598"
36,"spotify:track:1bjeWoagtHmUKputLVyDxQ","SZA","Saturn","Top Dawg Entertainment/RCA Records",12,32,14,"906573"
37,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",2,37,37,"850791"
38,"spotify:track:7K3BhSpAxZBznislvUMVtn","Morgan Wallen","Last Night","Big Loud Records / Mercury Records / Republic Records",1,43,69,"846800"
39,"spotify:track:1LLUoftvmTjVNBHZoQyveF","Billie Eilish","THE DINER","Darkroom/Interscope Records",24,24,2,"842538"
40,"spotify:track:4xhsWYTOGcal8zt0J161CU","Jack Harlow","Lovin On Me","Generation Now/Atlantic",1,41,29,"807208"
41,"spotify:track:2F3N9tdombb64aW6VtZOdo","Taylor Swift","Down Bad","Taylor Swift",2,35,6,"802050"
42,"spotify:track:0h3Xy4V4apMraB5NuM8U7Z","CYRIL","Stumblin' In","Spinnin' Records",19,44,17,"793273"
43,"spotify:track:59NraMJsLaMCVtwXTSia8i","cassö, RAYE, D-Block Europe","Prada","Ministry of Sound Recordings",4,45,42,"778837"
44,"spotify:track:3Vp4B9KshEPy72bwY0NJks","Lay Bankz","Tell Ur Girlfriend","Artist Partner Group, Inc.",22,39,8,"772443"
45,"spotify:track:36t6frENUtCYKuZus6aYDO","Taylor Swift","Who’s Afraid of Little Old Me?","Taylor Swift",9,38,6,"761082"
46,"spotify:track:7DpUoxGSdlDHfqCYj0otzU","Billie Eilish","BITTERSUITE","Darkroom/Interscope Records",29,29,2,"746799"
47,"spotify:track:0PAcdVzhPO4gq1Iym9ESnK","Morgan Wallen","Thinkin’ Bout Me","Big Loud Records / Mercury Records / Republic Records",35,49,65,"716128"
