rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4c9lx29ADaRI0Hzy8ql69V","VC Barre, Pablo Paz, takenoelz","SOLDAT","Universal Music AB",1,-1,1,"888527"
2,"spotify:track:4o5Ob60pz8QHcFKcr4MWyf","Bolaget","Ikväll Igen","WM Sweden",1,1,20,"820455"
4,"spotify:track:59NraMJsLaMCVtwXTSia8i","cassö, RAYE, D-Block Europe","Prada","Ministry of Sound Recordings",4,26,2,"749517"
5,"spotify:track:2FDTHlrBguDzQkp7PVj16Q","Dave, Central Cee","Sprinter","Neighbourhood / Live Yours",2,4,12,"651907"
6,"spotify:track:3b7YMGle84C9SLNmJC6dz0","Hov1","Vibe Check","Universal Music AB",2,2,2,"641222"
7,"spotify:track:6KOzO2mUwSwe8a9GiJAn7X","Bolaget","Kan Inte Gå","WM Sweden",1,5,86,"555162"
8,"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]","Darkroom/Interscope Records",4,7,6,"523828"
9,"spotify:track:7tHkIqI9XU8qCfLHIzl0pp","Thomas Stenström","Andas in andas ut","Korpstaden Produktion",4,6,18,"515271"
10,"spotify:track:1VJRxqJhpEIpnHon7ssp1p","Babblarna","Babblarnas vaggvisa","Universal Music AB Distributed Labels",5,8,243,"498777"
11,"spotify:track:5maA851Fle6XexgJgJzFjF","Humlan Djojj, Josefine Götestam","Djurens vaggvisa","Filtr Kids",9,9,100,"491462"
12,"spotify:track:1VJBnmHm3gUyJnPKetgC3j","Hov1","Grät","Universal Music AB",1,10,15,"458595"
13,"spotify:track:5GUfpSrOmyK35dOm2LA10V","Einár, A36","Standard","WM Sweden",3,11,5,"435068"
14,"spotify:track:6HuNgzEw9b4tDcSDCQBS1O","Victor Leksell","Fånga mig när jag faller","Sony Music Local",3,17,17,"419008"
15,"spotify:track:2IGMVunIBsBLtEQyoI1Mu7","Doja Cat","Paint The Town Red","Kemosabe Records/RCA Records",15,81,3,"415543"
16,"spotify:track:1p0RjMued7Tmm0o7CjzoHY","Miss Li","Våran sång (Sveriges Officiella VM-låt 2023)","Pistol Packin' Music",5,12,11,"406214"
17,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",17,19,9,"405927"
18,"spotify:track:2ZfaBbRMcEgSF8JnJIaEBP","Hooja","Banan Melon Kiwi & Citron","Roxy Recordings",5,15,63,"402589"
19,"spotify:track:2gwirjNHYJPlBwOJ5Aftwv","Albin Lee Meldau","Josefin","Glassnote Music LLC",9,16,122,"394422"
20,"spotify:track:7yfMu3Ez41fQXuD9gUbFjQ","Hooja","KOMMER DU IHÅG?","Roxy Recordings",4,22,26,"380279"
