rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:59NraMJsLaMCVtwXTSia8i","cassö, RAYE, D-Block Europe","Prada","Ministry of Sound Recordings",1,4,3,"914738"
2,"spotify:track:4c9lx29ADaRI0Hzy8ql69V","VC Barre, Pablo Paz, takenoelz","SOLDAT","Universal Music AB",1,1,2,"848374"
3,"spotify:track:4o5Ob60pz8QHcFKcr4MWyf","Bolaget","Ikväll Igen","WM Sweden",1,2,21,"826236"
4,"spotify:track:2cqyU75B4rXPHlU2X6WLCI","Victor Leksell","Natten blir till dag","Sony Music Local",4,-1,1,"708140"
6,"spotify:track:2FDTHlrBguDzQkp7PVj16Q","Dave, Central Cee","Sprinter","Neighbourhood / Live Yours",2,5,13,"631926"
7,"spotify:track:2IGMVunIBsBLtEQyoI1Mu7","Doja Cat","Paint The Town Red","Kemosabe Records/RCA Records",7,15,4,"576131"
8,"spotify:track:6KOzO2mUwSwe8a9GiJAn7X","Bolaget","Kan Inte Gå","WM Sweden",1,7,87,"562195"
9,"spotify:track:3b7YMGle84C9SLNmJC6dz0","Hov1","Vibe Check","Universal Music AB",2,6,3,"556847"
10,"spotify:track:7tHkIqI9XU8qCfLHIzl0pp","Thomas Stenström","Andas in andas ut","Korpstaden Produktion",4,9,19,"532807"
11,"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]","Darkroom/Interscope Records",4,8,7,"526983"
12,"spotify:track:5maA851Fle6XexgJgJzFjF","Humlan Djojj, Josefine Götestam","Djurens vaggvisa","Filtr Kids",9,11,101,"497600"
13,"spotify:track:1VJRxqJhpEIpnHon7ssp1p","Babblarna","Babblarnas vaggvisa","Universal Music AB Distributed Labels",5,10,244,"493087"
14,"spotify:track:1VJBnmHm3gUyJnPKetgC3j","Hov1","Grät","Universal Music AB",1,12,16,"443095"
15,"spotify:track:6HuNgzEw9b4tDcSDCQBS1O","Victor Leksell","Fånga mig när jag faller","Sony Music Local",3,14,18,"434098"
16,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",16,17,10,"407079"
17,"spotify:track:5GUfpSrOmyK35dOm2LA10V","Einár, A36","Standard","WM Sweden",3,13,6,"396584"
18,"spotify:track:2gwirjNHYJPlBwOJ5Aftwv","Albin Lee Meldau","Josefin","Glassnote Music LLC",9,19,123,"394533"
19,"spotify:track:2ZfaBbRMcEgSF8JnJIaEBP","Hooja","Banan Melon Kiwi & Citron","Roxy Recordings",5,18,64,"387364"
20,"spotify:track:7yfMu3Ez41fQXuD9gUbFjQ","Hooja","KOMMER DU IHÅG?","Roxy Recordings",4,20,27,"368577"
21,"spotify:track:16jNbcjTGEskPA06R4wbQz","Hooja","DISKOTEKA","Roxy Recordings",3,22,9,"364405"
22,"spotify:track:78Du4CMFgnhdlG33gblkiP","Oliver Anthony Music","Rich Men North of Richmond","Oliver Anthony Music/ radiowv",22,53,2,"351345"
23,"spotify:track:741UUVE2kuITl0c6zuqqbO","Nicki Minaj, Ice Spice, Aqua","Barbie World (with Aqua) [From Barbie The Album]","Atlantic Records",11,21,10,"351047"
24,"spotify:track:6y4Z3qrOwInrWJhocyiRcA","ADAAM, Pablo Paz, takenoelz","17","Universal Music AB",2,25,17,"350955"
25,"spotify:track:1pLglW5mDscxmbo32uaf3U","Basshunter, Victor Leksell","INGEN KAN SLÅ (BOTEN ANNA)","WM Sweden",4,29,10,"347988"
26,"spotify:track:1vYXt7VSjH9JIM5oRRo7vA","Dua Lipa","Dance The Night - From Barbie The Album","Atlantic Records",25,27,14,"343369"
27,"spotify:track:41WQUSINanQHfhfKpFDsms","Miley Cyrus","Used To Be Young","Columbia",27,-1,1,"342730"
28,"spotify:track:1Tx7TwXLu2BQIAz0SRzf2k","NOTD, Veronica Maggio","Occhi D’Amore","Universal Music AB",7,23,13,"340838"
29,"spotify:track:4FGvRqZ1pPaflN2jjLBMB9","Yasin","Har Dig","GG",2,31,27,"334349"
30,"spotify:track:1p0RjMued7Tmm0o7CjzoHY","Miss Li","Våran sång (Sveriges Officiella VM-låt 2023)","Pistol Packin' Music",5,16,12,"333726"
31,"spotify:track:4vOoQh9MhS9pyrbvc8LyMz","Zara Larsson","Can't Tame Her","Sommer House/Epic",5,28,31,"320286"
32,"spotify:track:56flxHBv6c08oCUjQhXeb1","Einár","Vill va med dig","Einár",1,30,13,"319981"
33,"spotify:track:2a6NdKqYB9CaMT2yfiXZnE","Albatraoz, Sofie Svensson & Dom Där, Kåren","TRUCKER MOTHERFUCKER","WM Sweden",10,26,11,"316143"
34,"spotify:track:1r5nCkDun9Rg73A5KGWZB0","Eah Jé","Beroendeframkallande","Columbia",4,37,33,"305006"
35,"spotify:track:2c8wnqPxPUXtxNSJN9b4cS","Hov1","Lilla B","Universal Music AB",1,35,23,"300601"
36,"spotify:track:1aEU7mcRDTYBB4ASpqbjYE","Hov1","Hon dansar vidare i livet","Universal Music AB",1,44,242,"296933"
37,"spotify:track:3xPsqMJQNM14OrawTBiK4G","Victor Leksell, Einár","Din låt","Sony Music Local",1,40,58,"296033"
40,"spotify:track:4GK4mydvnsodLEHWb4zJV4","Mares","Sunnanvind","Tjooff",5,50,143,"294380"
41,"spotify:track:7wcl1N4Mn1VlBbQQmOlgiO","Miss Li","Ålderdomshemmet","Pistol Packin' Music",17,34,22,"288939"
42,"spotify:track:0YvWZpHDLG4YeibR10xXPq","Dizzy","PRAPAPA","WM Sweden",28,36,8,"285267"
43,"spotify:track:1odExI7RdWc4BT515LTAwj","David Kushner","Daylight","Miserable Music Group, LLC",9,43,20,"281841"
44,"spotify:track:3k79jB4aGmMDUQzEwa46Rz","Olivia Rodrigo","vampire","Olivia Rodrigo PS",23,46,9,"280632"
45,"spotify:track:4DHcnVTT87F0zZhRPYmZ3B","Miley Cyrus","Flowers","Columbia",1,42,33,"279452"
46,"spotify:track:2Gd0oV24QsH0zb9nKFx7s5","Hov1, Einár","Gamora","Universal Music AB",1,45,130,"278867"
47,"spotify:track:5g9gZGiXlk747pESQzmmRT","Miss Li","Hälsa Gud","Pistol Packin' Music",4,32,44,"271660"
48,"spotify:track:1RwQZNgaXl01krZHuSUlE8","Elov & Beny, Sofie Svensson & Dom Där","BUBBEL PÅ BALKONGEN","REP9",2,38,62,"271540"
49,"spotify:track:6iF4RgIjDvDqyW13PezSj3","Selena Gomez","Single Soon","Interscope Records",49,-1,1,"266063"
50,"spotify:track:544i2kupbLppslcGI1PhlL","estraden","Bästa var du","Midsommarnatt (AB)",48,48,2,"260276"
51,"spotify:track:6oEfLCekbv7T0ERha5IQO9","Humlan Djojj, Josefine Götestam","Somna","Filtr Kids",49,52,53,"257176"
52,"spotify:track:4rXLjWdF2ZZpXCVTfWcshS","Gunna","fukumean","300 Entertainment",47,51,8,"251033"
53,"spotify:track:4aBdVP0kcEedFO9C4OjwuM","1.Cuz, 01an","TRAUMA PARANOIA","MR Ent x N2P",53,-1,1,"250484"
54,"spotify:track:1NfCjrtBVVK0IriW12o8Fd","Hanna Ferm, Olivia Lobato","Kommer Aldrig Förlora","Universal Music AB",54,-1,1,"249924"
55,"spotify:track:2O7YJWue0OOBHWxRaqDsm9","Delara","Josefin","GR:OW Records",30,39,9,"244672"
56,"spotify:track:3y3atUjUSfSxEpM1LEN00h","Thomas Stenström","Solen","Korpstaden Produktion",18,41,3,"242988"
57,"spotify:track:1DmW5Ep6ywYwxc2HMT5BG6","Loreen","Tattoo","Universal Music AB",1,55,27,"237606"
58,"spotify:track:3Ogy0Sog7JmnXBn43Dmyv0","Tobias Rahim, Victor Leksell","STOR MAN","Sony Music Entertainment",14,33,8,"235877"
