rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4o5Ob60pz8QHcFKcr4MWyf","Bolaget","Ikväll Igen","WM Sweden",1,1,16,"1018352"
2,"spotify:track:2FDTHlrBguDzQkp7PVj16Q","Dave, Central Cee","Sprinter","Neighbourhood / Live Yours",2,2,8,"862654"
3,"spotify:track:5GUfpSrOmyK35dOm2LA10V","Einár, A36","Standard","WM Sweden",3,-1,1,"791226"
4,"spotify:track:6KOzO2mUwSwe8a9GiJAn7X","Bolaget","Kan Inte Gå","WM Sweden",1,3,82,"710027"
5,"spotify:track:7tHkIqI9XU8qCfLHIzl0pp","Thomas Stenström","Andas in andas ut","Korpstaden Produktion",5,5,14,"637723"
6,"spotify:track:1VJBnmHm3gUyJnPKetgC3j","Hov1","Grät","Universal Music AB",1,4,11,"632547"
7,"spotify:track:2ZfaBbRMcEgSF8JnJIaEBP","Hooja","Banan Melon Kiwi & Citron","Roxy Recordings",5,7,59,"565803"
8,"spotify:track:16jNbcjTGEskPA06R4wbQz","Hooja","DISKOTEKA","Roxy Recordings",3,6,4,"559058"
9,"spotify:track:1VJRxqJhpEIpnHon7ssp1p","Babblarna","Babblarnas vaggvisa","Universal Music AB Distributed Labels",5,15,239,"495322"
10,"spotify:track:1pLglW5mDscxmbo32uaf3U","Basshunter, Victor Leksell","INGEN KAN SLÅ (BOTEN ANNA)","WM Sweden",4,9,5,"492528"
11,"spotify:track:6y4Z3qrOwInrWJhocyiRcA","ADAAM, Pablo Paz, takenoelz","17","Universal Music AB",2,8,12,"485091"
12,"spotify:track:2gwirjNHYJPlBwOJ5Aftwv","Albin Lee Meldau","Josefin","Glassnote Music LLC",9,11,118,"480288"
13,"spotify:track:1Tx7TwXLu2BQIAz0SRzf2k","NOTD, Veronica Maggio","Occhi D’Amore","Universal Music AB",7,10,8,"473686"
14,"spotify:track:7yfMu3Ez41fQXuD9gUbFjQ","Hooja","KOMMER DU IHÅG?","Roxy Recordings",4,14,22,"473270"
15,"spotify:track:56flxHBv6c08oCUjQhXeb1","Einár","Vill va med dig","Einár",1,13,8,"468509"
16,"spotify:track:5maA851Fle6XexgJgJzFjF","Humlan Djojj, Josefine Götestam","Djurens vaggvisa","Filtr Kids",16,18,96,"462053"
17,"spotify:track:1p0RjMued7Tmm0o7CjzoHY","Miss Li","Våran sång (Sveriges Officiella VM-låt 2023)","Pistol Packin' Music",5,19,7,"452782"
18,"spotify:track:6HuNgzEw9b4tDcSDCQBS1O","Victor Leksell","Fånga mig när jag faller","Sony Music Local",3,17,13,"450185"
19,"spotify:track:4vOoQh9MhS9pyrbvc8LyMz","Zara Larsson","Can't Tame Her","Sommer House/Epic",5,16,26,"427482"
20,"spotify:track:2a6NdKqYB9CaMT2yfiXZnE","Albatraoz, Sofie Svensson & Dom Där, Kåren","TRUCKER MOTHERFUCKER","WM Sweden",10,12,6,"425650"
21,"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]","Darkroom/Interscope Records",21,34,2,"425178"
22,"spotify:track:2c8wnqPxPUXtxNSJN9b4cS","Hov1","Lilla B","Universal Music AB",1,21,18,"417942"
