rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7Fjz93GKhU5LlTacFAO8ze","C.Gambino","Automatic","WM Sweden",1,1,4,"997386"
2,"spotify:track:2u85ptzhLjdL4iHV5pNUtb","Einár, Sara Kurt, Le Winter","Dans från dig","Einár",1,3,4,"780236"
3,"spotify:track:3ZxF05QdKqtssIdQR7amUW","Ant Wan","Go","Ant Wan",1,2,4,"770776"
4,"spotify:track:2HafqoJbgXdtjwCOvNEF14","iñigo quintero","Si No Estás","Acqustic",4,27,2,"761229"
5,"spotify:track:59NraMJsLaMCVtwXTSia8i","cassö, RAYE, D-Block Europe","Prada","Ministry of Sound Recordings",1,4,10,"715609"
6,"spotify:track:15vhsww4sVuzPOqN04DdBc","Bolaget","Farväl","WM Sweden",1,5,6,"643219"
7,"spotify:track:5mjYQaktjmjcMKcUIcqz4s","Kenya Grace","Strangers","Warner Records/Major Recordings",7,8,7,"558308"
8,"spotify:track:4o5Ob60pz8QHcFKcr4MWyf","Bolaget","Ikväll Igen","WM Sweden",1,7,28,"554389"
9,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",6,6,5,"548759"
10,"spotify:track:3GygspQIcYy5OnRiw245Qh","Babblarna","Babblarnas vaggvisa","Universal Music AB Distributed Labels",5,10,251,"514039"
11,"spotify:track:5maA851Fle6XexgJgJzFjF","Humlan Djojj, Josefine Götestam","Djurens vaggvisa","Filtr Kids",9,12,108,"503120"
12,"spotify:track:5aIVCx5tnk0ntmdiinnYvw","Tyla","Water","FAX Records/Epic",12,19,6,"482838"
13,"spotify:track:7ofOfhBu0FCuVemv4zL8Ry","Ant Wan","Komplicerat","Ant Wan",1,9,74,"450290"
14,"spotify:track:56y1jOTK0XSvJzVv9vHQBK","Doja Cat","Paint The Town Red","Kemosabe Records/RCA Records",4,13,11,"442049"
15,"spotify:track:6IgMLWNcxP1vONuQSIDEpk","Ant Wan","Malaika","Ant Wan",11,11,39,"432752"
16,"spotify:track:5JEzgajKcC4eIQfRu3cZk7","Loreen","Is It Love","Universal Music AB",16,-1,1,"407121"
17,"spotify:track:6KOzO2mUwSwe8a9GiJAn7X","Bolaget","Kan Inte Gå","WM Sweden",1,16,94,"394067"
18,"spotify:track:6msOfq0hbXa5pbqlVFhgj0","Thomas Stenström","Hoppas att jag gjorde allt jag kan","Korpstaden Produktion",18,-1,1,"390640"
19,"spotify:track:0gF8DDkQ4AZEEgPsWL95n6","Thomas Stenström","Andas in andas ut","Korpstaden Produktion",4,21,26,"385989"
20,"spotify:track:0K6iKgHPPhAb4Acmg9aD77","Zara Larsson, David Guetta","On My Love","Sommer House/Epic",4,15,5,"377847"
21,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",20,20,8,"375059"
22,"spotify:track:42YORRVJuaCskxH8XbLb05","Asme, Shiro","Konstnärer","BL under exclusive license to Virgin Music Sweden/Universal Music Sweden",7,14,3,"372270"
23,"spotify:track:4c9lx29ADaRI0Hzy8ql69V","VC Barre, Pablo Paz, takenoelz","SOLDAT","Universal Music AB",1,17,9,"369395"
24,"spotify:track:2dSAFb1xzoJffGzfxU4BaE","Ant Wan","En till dans","Ant Wan",3,18,26,"319978"
25,"spotify:track:1KB9MeVcnX2rjNGRYvP4aU","Hov1, Håkan Hellström","Saudade","Universal Music AB",1,22,6,"315363"
26,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",15,32,17,"312604"
27,"spotify:track:6HuNgzEw9b4tDcSDCQBS1O","Victor Leksell","Fånga mig när jag faller","Sony Music Local",3,25,25,"303403"
28,"spotify:track:2gwirjNHYJPlBwOJ5Aftwv","Albin Lee Meldau","Josefin","Glassnote Music LLC",9,29,130,"303003"
