rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
77,"spotify:track:3N2AjgvL6Idel1GtE2srYb","Oscar Mbo, KG Smallz, Thakzin, Dearson, Mhaw Keys, MÖRDA","Yes God (feat. Dearson, Mörda & Mhaw keys)","The Ashmed Hour Records",77,123,5,"83136"
78,"spotify:track:5mjYQaktjmjcMKcUIcqz4s","Kenya Grace","Strangers","Warner Records/Major Recordings",78,-1,1,"82999"
79,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",2,71,77,"82940"
80,"spotify:track:3pXF1nA74528Edde4of9CC","Bryson Tiller","Don't","TrapSoul/RCA Records",55,70,88,"81858"
81,"spotify:track:1eb2pZlRqGLndvOj8MHaTD","Khanyisa, Tyler ICU, Ceeka RSA, Nandipha808","SUKA (feat. Nandipha808, Ceeka RSA)","Superstar Studios",10,72,13,"80615"
82,"spotify:track:5aIVCx5tnk0ntmdiinnYvw","Tyla","Water","FAX Records/Epic",82,-1,1,"80385"
83,"spotify:track:4DHcnVTT87F0zZhRPYmZ3B","Miley Cyrus","Flowers","Columbia",1,76,34,"80229"
84,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",26,80,13,"79292"
85,"spotify:track:1CViD4tJqNMF4jjgP5Ug62","Jamie Fine","If Anything's Left","Universal Music Canada",73,146,24,"78731"
86,"spotify:track:7GaFYUqP2WdR4KTPk7cXoP","Mario","Let Me Love You","J Records",64,77,248,"78484"
87,"spotify:track:3F5CgOj3wFlRv51JsHbxhe","Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)","OVO",1,82,64,"77083"
88,"spotify:track:4JhsyZE6eZYmT3m108U3JQ","Spirit Of Praise, Mmatema","Bina Moya Waka (Live)","Spirit Music",88,-1,1,"77073"
89,"spotify:track:2DTnuVhrGnLcmgutAW4vb1","Lwah Ndlunkulu, Siya Ntuli","Ithuba","Nkabi Records",33,85,55,"76396"
90,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",2,79,40,"76298"
91,"spotify:track:5U6zQqXCVZokE7UH4kdAB1","MÖRDA, Oscar Mbo, Murumba Pitch","Mohigan Sun","Asante Music (PTY)Ltd",36,66,30,"75739"
92,"spotify:track:43PuMrRfbyyuz4QpZ3oAwN","Bryson Tiller","Exchange","TrapSoul/RCA Records",75,75,83,"75710"
93,"spotify:track:7662sEny6elrNILSP7OzQB","Soa Mattrix, Sir Trill, B33Kay SA, Cnethemba Gonelo, Frank Mabeat, Tribal Soul","Athandwe","Soa Music Group",93,-1,1,"74080"
94,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",5,83,39,"73824"
95,"spotify:track:5Dsuz6UsZyoWM3HOaRgQeC","Lloyiso","Seasons","Universal Music (Pty) Ltd.",62,128,98,"73386"
96,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",35,101,69,"72523"
97,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",7,89,243,"71908"
98,"spotify:track:2f86Ae3R4OKAu1lEIqouih","Summer Walker, J. Cole","To Summer, From Cole - Audio Hug","LVRN/Interscope Records",12,86,16,"71190"
99,"spotify:track:5hJFhO9dvhJoDvUZZ9iWSw","Miguel","Adorn","ByStorm Entertainment/RCA Records",79,87,51,"71167"
100,"spotify:track:6n3HGiq4v35D6eFOSwqYuo","Drake","Teenage Fever","Cash Money Records/Young Money Ent./Universal Rec.",70,94,77,"70731"
101,"spotify:track:0Wa6EyiyMpByx1vmufeSc0","Elvirgo, Chicco, TallexQ","Malume (Nta Swi Byela Mani Revisit)","Gallo Record Company",32,57,12,"69512"
102,"spotify:track:3k79jB4aGmMDUQzEwa46Rz","Olivia Rodrigo","vampire","Olivia Rodrigo PS",37,93,10,"69278"
103,"spotify:track:2HbKqm4o0w5wEeEFXm2sD4","Kendrick Lamar, Jay Rock","Money Trees","Aftermath",49,97,72,"69183"
104,"spotify:track:1bDbXMyjaUIooNwFE9wn0N","Drake, 21 Savage","Rich Flex","OVO / Republic Records",1,99,44,"68634"
105,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",8,103,54,"67843"
106,"spotify:track:1kKltSWkRUTB7LYVFJXS2w","Murumba Pitch, Omit ST, Nkosazana Daughter, Sipho Magudulela","Esangweni","Murumba Pitch",40,106,26,"67629"
107,"spotify:track:7KwYLXSSMH8h5kVS3amYEj","Kabza De Small, DJ Maphorisa, MaWhoo, Nokwazi, Mashudu, LeeArt","Ungiphethe Kahle (feat. Nokwazi, Mawhoo, Mashudu & LeeArt)","Piano Hub",54,98,4,"67476"
108,"spotify:track:2J6OF7CkpdQGSfm1wdclqn","Brent Faiyaz","Clouded","Lost Kids",86,95,34,"67421"
109,"spotify:track:7aRCf5cLOFN1U7kvtChY1G","Drake","Search & Rescue","OVO/Republic Records",5,91,22,"67401"
110,"spotify:track:1i9lZvlaDdWDPyXEE95aiq","Travis Scott, SZA, Future","TELEKINESIS (feat. SZA & Future)","Cactus Jack/Epic",28,96,6,"66605"
111,"spotify:track:4SHBNhM1S8QZgsx8pCdthw","Aymos, Jessica LM","Amandla","Lyf Styl Entertainment",111,120,6,"66303"
112,"spotify:track:05lM7Ep8UESoe3LV5yrew5","Lloyiso","Dream About You","Ambitiouz Entertainment",54,119,79,"65514"
113,"spotify:track:5fEB6ZmVkg63GZg9qO86jh","PARTYNEXTDOOR","Break from Toronto","OVO Sound",88,88,37,"64726"
114,"spotify:track:14SaZBTjxlorHJQxXh01Hu","Summer Walker, Drake","Girls Need Love (with Drake) - Remix","LVRN/Interscope Records",43,114,178,"64672"
